freq,psd_x,psd_y,psd_z,psd_xyz
146.0,5.010e+03,4.715e+02,3.560e+02,5.838e+03
147.6,4.727e+03,4.747e+02,3.094e+02,5.511e+03
149.2,4.242e+03,4.367e+02,3.313e+02,5.010e+03
150.9,3.816e+03,3.735e+02,4.016e+02,4.591e+03
152.5,3.596e+03,3.555e+02,4.968e+02,4.449e+03
154.1,3.142e+03,3.416e+02,5.830e+02,4.066e+03
155.7,2.736e+03,3.025e+02,7.613e+02,3.800e+03
157.3,2.756e+03,2.765e+02,1.042e+03,4.074e+03
159.0,3.279e+03,2.897e+02,1.177e+03,4.745e+03
160.6,4.052e+03,3.610e+02,1.039e+03,5.452e+03
162.2,4.537e+03,4.432e+02,7.776e+02,5.757e+03
163.8,4.533e+03,4.497e+02,6.653e+02,5.648e+03
165.5,4.498e+03,4.476e+02,6.278e+02,5.573e+03
167.1,4.466e+03,4.536e+02,6.793e+02,5.599e+03
168.7,4.510e+03,4.705e+02,7.600e+02,5.740e+03
170.3,4.184e+03,4.479e+02,7.231e+02,5.355e+03
171.9,3.739e+03,4.345e+02,7.769e+02,4.950e+03
173.6,3.508e+03,4.230e+02,1.028e+03,4.959e+03
175.2,3.577e+03,4.364e+02,1.009e+03,5.022e+03
176.8,3.468e+03,4.206e+02,7.852e+02,4.674e+03
178.4,3.152e+03,3.611e+02,5.662e+02,4.079e+03
180.1,2.898e+03,3.286e+02,6.395e+02,3.866e+03
181.7,2.845e+03,3.824e+02,1.051e+03,4.278e+03
183.3,2.947e+03,4.748e+02,1.320e+03,4.742e+03
184.9,2.828e+03,4.912e+02,1.173e+03,4.492e+03
186.5,2.668e+03,5.165e+02,9.548e+02,4.139e+03
188.2,2.445e+03,5.171e+02,6.803e+02,3.642e+03
189.8,2.543e+03,6.287e+02,4.837e+02,3.655e+03
191.4,2.759e+03,7.887e+02,4.792e+02,4.027e+03
193.0,2.642e+03,7.204e+02,5.981e+02,3.960e+03
194.6,2.478e+03,6.914e+02,8.086e+02,3.978e+03
196.3,2.379e+03,7.275e+02,1.012e+03,4.118e+03
197.9,2.560e+03,6.240e+02,1.132e+03,4.316e+03
199.5,2.657e+03,5.030e+02,1.239e+03,4.399e+03
