freq,psd_x,psd_y,psd_z,psd_xyz
179.7,2.486e+03,9.974e+02,4.324e+02,3.916e+03
181.3,2.449e+03,1.095e+03,5.883e+02,4.132e+03
182.9,2.438e+03,9.371e+02,7.038e+02,4.079e+03
184.5,2.305e+03,8.408e+02,6.835e+02,3.829e+03
186.2,2.144e+03,8.733e+02,5.994e+02,3.616e+03
187.8,2.028e+03,9.047e+02,5.195e+02,3.452e+03
189.4,2.031e+03,9.185e+02,4.465e+02,3.396e+03
191.0,2.168e+03,8.603e+02,4.388e+02,3.467e+03
192.6,2.040e+03,8.691e+02,4.075e+02,3.317e+03
194.3,1.844e+03,9.808e+02,3.429e+02,3.167e+03
195.9,1.703e+03,1.185e+03,2.766e+02,3.165e+03
197.5,1.754e+03,1.745e+03,2.226e+02,3.721e+03
199.1,1.853e+03,2.274e+03,2.388e+02,4.366e+03
