freq,psd_x,psd_y,psd_z,psd_xyz
170.2,3.017e+02,3.628e+03,1.698e+02,4.099e+03
171.9,3.447e+02,3.583e+03,1.659e+02,4.094e+03
173.5,3.075e+02,3.179e+03,1.676e+02,3.655e+03
175.1,3.038e+02,2.804e+03,1.624e+02,3.270e+03
176.8,3.072e+02,2.635e+03,1.724e+02,3.115e+03
178.4,2.609e+02,2.401e+03,1.718e+02,2.834e+03
180.0,2.600e+02,2.172e+03,1.758e+02,2.607e+03
181.7,2.610e+02,2.007e+03,1.877e+02,2.455e+03
183.3,2.401e+02,1.802e+03,1.717e+02,2.214e+03
185.0,2.129e+02,1.860e+03,1.730e+02,2.246e+03
186.6,2.044e+02,1.915e+03,1.676e+02,2.287e+03
188.2,1.888e+02,1.760e+03,1.728e+02,2.121e+03
189.9,1.853e+02,1.614e+03,1.762e+02,1.976e+03
191.5,1.896e+02,1.498e+03,1.762e+02,1.864e+03
193.1,1.782e+02,1.331e+03,1.883e+02,1.698e+03
194.8,1.654e+02,1.181e+03,1.820e+02,1.529e+03
196.4,1.432e+02,1.158e+03,1.832e+02,1.484e+03
198.1,1.184e+02,1.191e+03,1.826e+02,1.492e+03
199.7,1.443e+02,1.199e+03,1.868e+02,1.530e+03
