freq,psd_x,psd_y,psd_z,psd_xyz
166.9,6.650e+03,5.324e+02,1.743e+02,7.357e+03
168.6,6.139e+03,6.089e+02,1.753e+02,6.923e+03
170.2,5.913e+03,5.327e+02,1.865e+02,6.632e+03
171.9,5.716e+03,3.693e+02,1.994e+02,6.284e+03
173.5,5.380e+03,2.518e+02,1.942e+02,5.826e+03
175.1,5.502e+03,2.272e+02,1.914e+02,5.921e+03
176.8,5.523e+03,1.870e+02,1.979e+02,5.908e+03
178.4,5.143e+03,1.311e+02,2.117e+02,5.485e+03
180.0,4.787e+03,1.335e+02,2.248e+02,5.145e+03
181.7,4.732e+03,1.562e+02,2.271e+02,5.115e+03
183.3,5.013e+03,1.858e+02,1.948e+02,5.394e+03
185.0,4.751e+03,2.090e+02,1.867e+02,5.147e+03
186.6,4.425e+03,1.880e+02,2.054e+02,4.818e+03
188.2,4.327e+03,1.693e+02,2.097e+02,4.706e+03
189.9,4.591e+03,1.501e+02,2.109e+02,4.952e+03
191.5,4.829e+03,1.270e+02,2.273e+02,5.183e+03
193.1,4.520e+03,1.168e+02,2.416e+02,4.878e+03
194.8,4.230e+03,1.062e+02,2.722e+02,4.609e+03
196.4,3.887e+03,1.072e+02,2.769e+02,4.271e+03
198.0,4.024e+03,9.368e+01,3.057e+02,4.423e+03
199.7,3.821e+03,8.388e+01,3.013e+02,4.206e+03
