freq,psd_x,psd_y,psd_z,psd_xyz
162.7,2.530e+02,1.757e+03,1.942e+02,2.205e+03
164.3,2.621e+02,1.306e+03,2.041e+02,1.772e+03
165.9,2.404e+02,1.024e+03,2.102e+02,1.475e+03
167.5,2.592e+02,7.581e+02,2.030e+02,1.220e+03
169.2,2.387e+02,7.547e+02,1.621e+02,1.156e+03
170.8,2.275e+02,8.946e+02,1.427e+02,1.265e+03
172.4,2.454e+02,1.121e+03,1.405e+02,1.507e+03
174.0,2.537e+02,1.313e+03,1.592e+02,1.726e+03
175.7,2.622e+02,1.321e+03,1.565e+02,1.740e+03
177.3,2.492e+02,1.530e+03,1.555e+02,1.935e+03
178.9,2.350e+02,1.658e+03,1.505e+02,2.044e+03
180.6,2.150e+02,1.796e+03,1.630e+02,2.174e+03
182.2,1.759e+02,2.071e+03,1.672e+02,2.414e+03
183.8,1.475e+02,2.347e+03,1.604e+02,2.655e+03
185.4,1.332e+02,2.717e+03,1.612e+02,3.012e+03
187.1,1.277e+02,2.893e+03,1.620e+02,3.183e+03
188.7,1.240e+02,3.068e+03,1.535e+02,3.346e+03
190.3,1.239e+02,3.383e+03,1.457e+02,3.653e+03
191.9,1.227e+02,3.496e+03,1.459e+02,3.765e+03
193.6,1.184e+02,3.598e+03,1.480e+02,3.865e+03
195.2,1.123e+02,3.703e+03,1.514e+02,3.967e+03
196.8,1.202e+02,3.768e+03,1.677e+02,4.056e+03
198.4,1.360e+02,4.092e+03,1.695e+02,4.397e+03
