freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.067e+03,4.272e+01,8.118e+01,1.191e+03
1.6,6.966e+02,1.411e+02,2.197e+02,1.057e+03
3.3,1.610e+02,1.191e+02,1.819e+02,4.619e+02
4.9,7.884e+02,1.005e+02,1.761e+02,1.065e+03
6.5,2.179e+03,1.030e+02,1.676e+02,2.450e+03
8.1,3.357e+03,9.469e+01,1.694e+02,3.621e+03
9.8,4.779e+03,9.189e+01,1.781e+02,5.049e+03
11.4,6.769e+03,9.465e+01,1.639e+02,7.027e+03
13.0,8.291e+03,1.552e+02,1.649e+02,8.611e+03
14.6,8.708e+03,2.042e+02,1.823e+02,9.095e+03
16.3,1.021e+04,2.117e+02,1.896e+02,1.061e+04
17.9,1.226e+04,1.288e+02,1.749e+02,1.256e+04
19.5,1.509e+04,7.534e+01,1.801e+02,1.535e+04
21.1,1.834e+04,8.042e+01,1.831e+02,1.861e+04
22.8,2.205e+04,7.976e+01,1.716e+02,2.230e+04
24.4,2.617e+04,7.865e+01,1.776e+02,2.643e+04
26.0,3.140e+04,8.381e+01,2.401e+02,3.172e+04
27.6,3.692e+04,9.971e+01,5.358e+02,3.756e+04
29.3,3.595e+04,9.106e+01,6.455e+02,3.668e+04
30.9,3.949e+04,8.207e+01,2.941e+02,3.986e+04
32.5,4.674e+04,9.108e+01,1.866e+02,4.701e+04
34.1,5.300e+04,8.386e+01,1.607e+02,5.324e+04
35.8,5.948e+04,8.852e+01,1.479e+02,5.972e+04
37.4,6.698e+04,1.080e+02,1.514e+02,6.723e+04
39.0,7.558e+04,1.107e+02,1.592e+02,7.585e+04
40.6,8.450e+04,1.074e+02,1.873e+02,8.480e+04
42.3,9.514e+04,1.043e+02,2.874e+02,9.553e+04
43.9,1.045e+05,1.524e+02,3.990e+02,1.051e+05
45.5,1.151e+05,2.659e+02,2.819e+02,1.156e+05
47.1,1.276e+05,1.862e+02,2.451e+02,1.281e+05
48.8,1.438e+05,1.709e+02,1.698e+02,1.441e+05
50.4,1.617e+05,2.163e+02,1.647e+02,1.621e+05
52.0,1.821e+05,2.852e+02,1.606e+02,1.825e+05
53.7,2.037e+05,3.721e+02,1.586e+02,2.042e+05
55.3,2.301e+05,4.273e+02,1.704e+02,2.307e+05
56.9,2.618e+05,4.939e+02,1.789e+02,2.624e+05
58.5,3.009e+05,6.120e+02,1.730e+02,3.016e+05
60.2,3.487e+05,8.286e+02,1.717e+02,3.497e+05
61.8,4.109e+05,9.185e+02,1.629e+02,4.120e+05
63.4,4.989e+05,1.113e+03,1.649e+02,5.001e+05
65.0,6.339e+05,1.762e+03,2.258e+02,6.359e+05
66.7,8.791e+05,5.238e+03,6.617e+02,8.850e+05
68.3,1.127e+06,1.390e+04,2.701e+03,1.144e+06
69.9,8.779e+05,9.625e+03,5.755e+03,8.933e+05
71.5,4.846e+05,2.387e+03,6.702e+03,4.937e+05
73.2,4.200e+05,1.941e+03,5.590e+03,4.276e+05
74.8,6.185e+05,4.636e+03,5.065e+03,6.282e+05
76.4,8.712e+05,1.424e+04,4.526e+03,8.900e+05
78.0,1.166e+06,3.104e+04,4.619e+03,1.202e+06
79.7,1.592e+06,3.416e+04,6.767e+03,1.633e+06
81.3,2.169e+06,2.165e+04,1.262e+04,2.203e+06
82.9,2.716e+06,3.268e+04,2.118e+04,2.770e+06
