freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.580e+02,1.020e+02,4.188e+01,1.002e+03
1.6,5.872e+02,1.661e+02,1.820e+02,9.353e+02
3.2,1.503e+02,1.084e+02,1.836e+02,4.424e+02
4.9,7.863e+02,9.905e+01,1.668e+02,1.052e+03
6.5,2.149e+03,9.078e+01,1.791e+02,2.419e+03
8.1,3.367e+03,8.598e+01,1.687e+02,3.622e+03
9.7,4.807e+03,8.599e+01,1.603e+02,5.053e+03
11.4,6.836e+03,1.026e+02,1.617e+02,7.100e+03
13.0,8.395e+03,1.651e+02,1.452e+02,8.705e+03
14.6,8.776e+03,1.738e+02,1.441e+02,9.093e+03
16.2,1.024e+04,1.894e+02,1.467e+02,1.057e+04
17.9,1.257e+04,1.463e+02,1.529e+02,1.287e+04
19.5,1.532e+04,9.604e+01,1.502e+02,1.556e+04
21.1,1.839e+04,9.764e+01,1.466e+02,1.864e+04
22.7,2.208e+04,1.033e+02,1.566e+02,2.234e+04
24.4,2.630e+04,1.126e+02,1.651e+02,2.657e+04
26.0,3.211e+04,1.138e+02,2.081e+02,3.243e+04
27.6,3.754e+04,1.257e+02,4.767e+02,3.814e+04
29.2,3.460e+04,1.556e+02,5.352e+02,3.529e+04
30.8,3.884e+04,1.442e+02,2.487e+02,3.924e+04
32.5,4.724e+04,1.601e+02,1.731e+02,4.757e+04
34.1,5.552e+04,2.218e+02,1.668e+02,5.591e+04
35.7,6.606e+04,5.204e+02,1.673e+02,6.675e+04
37.3,7.504e+04,1.202e+03,1.634e+02,7.640e+04
39.0,7.183e+04,1.857e+03,1.447e+02,7.383e+04
40.6,6.409e+04,1.537e+03,1.496e+02,6.578e+04
42.2,7.051e+04,7.533e+02,1.530e+02,7.142e+04
43.8,8.178e+04,4.494e+02,1.610e+02,8.239e+04
45.5,9.240e+04,3.764e+02,1.694e+02,9.295e+04
47.1,1.029e+05,2.672e+02,1.567e+02,1.033e+05
48.7,1.146e+05,3.256e+02,1.501e+02,1.151e+05
50.3,1.282e+05,3.986e+02,1.539e+02,1.287e+05
52.0,1.450e+05,4.616e+02,1.593e+02,1.457e+05
53.6,1.646e+05,5.773e+02,1.579e+02,1.653e+05
55.2,1.856e+05,7.101e+02,1.518e+02,1.865e+05
56.8,2.097e+05,8.041e+02,1.573e+02,2.107e+05
58.4,2.406e+05,9.871e+02,1.689e+02,2.417e+05
60.1,2.812e+05,1.358e+03,1.487e+02,2.827e+05
61.7,3.311e+05,1.820e+03,1.483e+02,3.331e+05
63.3,3.961e+05,2.370e+03,1.891e+02,3.987e+05
